image_path,065,067,020,064,070,069,046,049,066,023,063,021,045,019,044,068,022,047,062,048,018
/mnt/AI_NAS/Data/현대캐피탈/data/images/110/A0000.jpg,✘,✘,✘,✘,␣,␣,✘,✘,✘,✘,✔,✘,✔,✔,✘,SP00NAB021,✘,✘,✘,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/110/A0001.jpg,✘,✘,✘,✘,␣,␣,✘,✘,✘,✘,✔,✘,✔,✔,✘,SP00NAB021,✘,✘,✘,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/110/A0002.jpg,✘,✘,✘,✘,␣,␣,✘,✘,✘,✘,✔,✘,✔,✔,✘,SP00NAB021,✘,✘,✘,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/110/A0003.jpg,✘,✘,✘,✘,␣,␣,✘,✘,✘,✘,✔,✘,✔,✔,✘,SP00NAB021,✘,✘,✘,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/110/A0004.jpg,✘,✘,✘,✘,␣,␣,✘,✘,✘,✘,✔,✘,✔,✔,✘,SP00NAB021,✘,✘,✘,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/110/A0005.jpg,✘,✘,✘,✘,␣,␣,✘,✘,✘,✘,✔,✘,✔,✔,✘,SP00NAB021,✘,✘,✘,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/110/A0006.jpg,✘,✘,✘,✘,␣,␣,✘,✘,✘,✘,✔,✘,✔,✔,✘,SP00NAB021,✘,✘,✘,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/110/A0007.jpg,✘,✘,✘,✘,␣,␣,✘,✘,✘,✘,✔,✘,✔,✔,✘,SP00NAB021,✘,✘,✘,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/110/A0008.jpg,✘,✘,✘,✘,␣,␣,✘,✘,✘,✘,✔,✘,✔,✔,✘,SP00NAB021,✘,✘,✘,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/110/A0009.jpg,✘,✘,✘,✘,␣,␣,✘,✘,✘,✘,✔,✘,✔,✔,✘,SP00NAB021,✘,✘,✘,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/110/A0010.jpg,✘,✘,✘,✘,␣,␣,✘,✘,✘,✘,✔,✘,✔,✔,✘,SP00NAB021,✘,✘,✘,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/110/A0011.jpg,✘,✘,✘,✘,␣,␣,✘,✘,✘,✘,✔,✘,✔,✔,✘,SP00NAB021,✘,✘,✘,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/110/A0012.jpg,✘,✘,✘,✘,␣,␣,✘,✘,✘,✘,✔,✘,✔,✔,✘,SP00NAB021,✘,✘,✘,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/110/A0013.jpg,✘,✘,✘,✘,␣,␣,✘,✘,✘,✘,✔,✘,✔,✔,✘,SP00NAB021,✘,✘,✘,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/110/A0014.jpg,✘,✘,✘,✘,␣,␣,✘,✘,✘,✘,✔,✘,✔,✔,✘,SP00NAB021,✘,✘,✘,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/110/A0015.jpg,✘,✘,✘,✘,␣,␣,✘,✘,✘,✘,✔,✘,✔,✔,✘,SP00NAB021,✘,✘,✘,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/110/A0016.jpg,✘,✘,✘,✘,␣,␣,✘,✘,✘,✘,✔,✘,✔,✔,✘,SP00NAB021,✘,✘,✘,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/110/A0017.jpg,✘,✘,✘,✘,␣,␣,✘,✘,✘,✘,✔,✘,✔,✔,✘,SP00NAB021,✘,✘,✘,✘,✘
