image,005,000,003,007,001,006,002,004,009,008
A0000,㈜ 에스엔피커뮤니케이션,✔,01,SP00NAC020,✘,✔,2025,15,␣,␣
A0001,명문건축,✔,03,SP00NAC020,✘,✔,2025,27,␣,␣
A0002,은광전기조명,✔,05,SP00NAC020,✘,✔,2025,05,␣,␣
A0003,청도체육관,✔,07,SP00NAC020,✘,✔,2025,18,␣,␣
A0004,계명피아노교습소,✔,09,SP00NAC020,✘,✔,2025,11,␣,␣
A0005,(주)네트인정보기술,✔,11,SP00NAC020,✘,✔,2025,24,␣,␣
A0006,주식회사 더스쿠프,✔,02,SP00NAC020,✘,✔,2025,08,␣,␣
A0007,캐리어티에스 (주),✔,04,SP00NAC020,✘,✔,2025,21,␣,␣
A0008,에오스,✔,06,SP00NAC020,✘,✔,2025,29,␣,␣
A0009,㈜ 두레원미래,✔,8,SP00NAC020,✘,✔,2025,15,␣,␣
A0010,NONAME,✔,10,SP00NAC020,✘,✔,2025,03,␣,␣
A0011,(주)디엠산업,✔,12,SP00NAC020,✘,✔,2025,30,␣,␣
A0012,케이에스스마트,✔,01,SP00NAC020,✘,✔,2025,06,␣,␣
A0013,석재용달화물,✔,03,SP00NAC020,✘,✔,2025,16,␣,␣
A0014,한국해항수산(주),✔,05,SP00NAC020,✘,✔,2025,26,␣,␣
A0015,월드스틸(주),✔,07,SP00NAC020,✘,✔,2025,08,␣,␣
A0016,금암교회,✔,09,SP00NAC020,✘,✔,2025,22,␣,␣
A0017,모든 ( 장한평 ),✔,11,SP00NAC020,✘,✔,2025,07,␣,␣
A0018,만두빗는 사람들,✔,2,SP00NAC020,✘,✔,2025,25,␣,␣
A0019,조은식품,✔,04,SP00NAC020,✘,✔,2025,08,␣,␣
A0020,주) 로봇택시,✔,06,SP00NAC020,✘,✔,2025,14,␣,␣
A0021,주) 슈퍼카레이서,✔,8,SP00NAC020,✘,✔,2025,28,␣,␣
A0022,주) 번개돌이,✔,10,SP00NAC020,✘,✔,2025,15,␣,␣
A0023,주) 무지개 다리,✔,12,SP00NAC020,✘,✔,2025,11,␣,␣
A0024,빵빵인테리어,✔,01,SP00NAC020,✘,✔,2025,23,␣,␣
A0025,무지개 멘션,✔,3,SP00NAC020,✘,✔,2025,31,␣,␣
A0026,거북이익스프레스,✔,05,SP00NAC020,✘,✔,2025,12,␣,␣
A0027,코끼리 디자인,✔,07,SP00NAC020,✘,✔,2025,29,␣,␣
A0028,씽씽모터스,✔,9,SP00NAC020,✘,✔,2025,5,␣,␣
A0029,별똥별 택배,✔,11,SP00NAC020,✘,✔,2025,18,␣,␣
