image,000,001,002,003,004,005,006,007,008,009,010,011,012,013,014,015,016,017,018,019,020,021,022,023,024,025,026,027,028,029,032,033,034,035,036,042,043,044,045,046,047,048,049,050,051,052,053,054,055,056,057,058,059,060,061,062,063,064,065,066,067,068,069,070,071,072,073,074,075,076,077,078,079,080,081,082,083,084,085,086,087,088,089,090,091,092,093,094,095,096,097,099,100
G0000,,✔,천재교육,,55,✔,,✔,✔,,,,,있는,,✔,✔,✔,✔,명해01,,,✔,,"19,630,000",✔,✔,✔,3170000,"71,510,000",,"56,690,000",,32,12,,✔,28,10,"39,490,000",30,31,,1140000,,26,,,,41850000,✔,✔,✔,,,,엘로치킨,,✔,✔,✔,✔,,✔,39세,,,✔,✔,,2042천만원,,,✔,,,8819만원,,✔,,,✔,,✔,,,,,드는 비용.,,✔,1423404088,
G0001,,✔,발우공양,,,,,,,,✔,,,우리나라 특산종으로,,,,,✔,중량을,,✔,,,"1,680,000",✔,✔,,"63,880,000","4,880,000",최대,71240000,,,7,,✔,32,7,"63,610,000",,,"84,230,000",42950000,7,20,1120000,25,13,"54,980,000",,✔,,,,,대성목재공업,,,,✔,✔,,,46세,✔,,,,,6274천만원,✔,,,,,,,,,,,,,,,,,,,,9234453589,
G0002,✔,,디엔에이링크,,62,,✔,✔,✔,,,✔,✔,뒹굴,,,✔,,,,,,✔,,,✔,,,,"3,830,000",짧거나,,,16,,✔,✔,21,,"84,760,000",,11,"82,240,000","61,830,000",,31,"8,340,000",12,8,,,✔,,✔,,,케이엠더블유,,✔,,,,,,,,,,,,,,,,✔,✔,,,,,,,✔,,,,,,협정.,✔,✔,,
G0003,,,파주옥,✔,23,,,✔,,,,✔,✔,높은 온도로,✔,,✔,,,보이다.,,,,✔,"1,890,000",✔,✔,✔,,,"인충,","2,610,000",,11,,,,,17,,30,,,"8,560,000",28,19,,2,13,,,✔,,,,✔,,,✔,,,✔,,,49세,,,✔,✔,✔,,,✔,✔,,,,,,✔,✔,,,,✔,,,✔,,✔,,1687912600,
G0004,✔,✔,,✔,76,✔,,,,✔,,,,,✔,,✔,,,,,,,,"16,710,000",✔,,✔,,"57,450,000",아이는,"64,650,000",,4,32,,✔,,13,"67,580,000",27,10,"24,690,000","83,730,000",16,10,"4,470,000",16,,"2,350,000",,,✔,✔,,,,,,,✔,,✔,✔,67세,,,,✔,✔,1899천만원,,,,,,6487만원,✔,,,,✔,,,,,✔,,냉전의 요인을,,✔,,UTI5PBY
G0005,,,하늘아래뜰,,,,✔,✔,✔,,,✔,,온도를,,,,,,,,,✔,,"5,880,000",✔,,✔,"96,190,000","91,520,000",,"78,330,000",,17,13,✔,✔,13,,"63,870,000",,28,85230000,"16,190,000",5,33,5810000,25,22,,✔,,,✔,,,,,,✔,✔,,,,70세,,,,,✔,,✔,,,,,,,,,,,,,,,,,,,,,
G0006,✔,✔,세방전지,✔,68,,,,,,,✔,,맏이인 약현의,✔,✔,,✔,,없이,,,,,,,,,,"54,590,000",장구,,,,18,,,,,"37,570,000",35,,,"55,710,000",23,24,"9,740,000",18,4,,,,,,✔,,,,✔,✔,,,,✔,77세,✔,,,,✔,3804천만원,,✔,,,,8357만원,,,,,,✔,,✔,,,,있음을,,,,UDIQ9F2
G0007,,,이오이 서울,,,,,✔,,✔,,,✔,명화의 청구라면,,✔,,✔,,잔디밭,✔,,✔,,,,✔,,,"5,920,000",즐기던,"8,880,000",,25,1,✔,✔,9,29,"7,930,000",12,19,"16,250,000","72,730,000",3,23,"56,710,000",,6,6510000,,,,✔,✔,,,✔,✔,,,,✔,,46세,,,✔,,,7015천만원,,,✔,✔,,6909만원,,,,,✔,,,,,✔,✔,전파망이 촘촘하게,,✔,9036544466,
G0008,,✔,목동 아이스링크,✔,77,✔,,,,✔,,✔,,위하여 편성한,,,,,,득희락,,✔,,,,✔,,✔,,"91,820,000",농업적이던,"79,480,000",,,24,,,,9,,1,30,"94,220,000","3,240,000",17,,"4,210,000",27,,"2,790,000",,,✔,✔,,,파주옥,✔,,,,,✔,,,✔,,,✔,,,,,✔,,,,✔,,,,,✔,,✔,✔,,,일.,,✔,,U9E02CK
G0009,,,낙산공원 야경,,41,,✔,✔,✔,✔,,,,,,✔,,,✔,딱,✔,,✔,,,,,✔,"79,480,000","12,890,000",옛,"1,250,000",,7,,,,28,,71230000,18,11,32510000,,30,10,"78,270,000",,31,"5,450,000",,✔,✔,,✔,✔,삼진제약,✔,,,✔,✔,✔,✔,42세,,,,,✔,6508천만원,✔,,✔,✔,✔,,,,,,,,,✔,,,✔,,,,,U6MD7RE
