image,000,001,002,003,004,005,008,009,010,011,012,013,014,015,036,037,038,039,040,041,043,044
G0000,,,✔,,,✔,,,,,,✔,,✔,✔,,,,,,1956129792,EK21BQC
G0001,✔,,,,,✔,,✔,,✔,,,,,✔,,✔,✔,✔,✔,1183472798,
G0002,✔,,,,,,,✔,,,,✔,✔,,,,,,✔,✔,,
G0003,,,,✔,✔,✔,,,✔,,✔,✔,,✔,,,✔,,✔,,,
G0004,,,,,,,✔,,✔,✔,,✔,,✔,,,,✔,✔,,,E1IE8W5
G0005,,,,,,,,✔,,,✔,,,,✔,,,,✔,,,EBX25Q1
G0006,,✔,,,✔,✔,,,✔,,,,,,✔,,,,,,9289667157,
G0007,✔,,,✔,,,,,,,✔,,,✔,,✔,,,,,1073918246,EIU2ZBL
G0008,,✔,,,✔,,,,✔,,✔,✔,,✔,,,,,✔,✔,9918382313,EFBNT4G
G0009,,,,,,,✔,,✔,,,,,✔,,,,,,✔,,E0ILCU2
